,kboTIME,RA,DEC
248,2433530.2111056545,148.72394,23.70632
249,2433531.21114029,148.74581,23.70157
250,2433532.2111764336,148.76757,23.69692
251,2433533.2112140767,148.78922,23.69235
252,2433534.2112532104,148.81077,23.68789
253,2433535.2112938263,148.83219,23.68351
254,2433536.211335913,148.8535,23.67924
255,2433537.211379459,148.87467,23.67506
256,2433538.2114244523,148.89571,23.67098
257,2433539.2114708796,148.91661,23.667
258,2433540.211518726,148.93737,23.66313
259,2433541.2115679765,148.95797,23.65937
260,2433542.211618616,148.97842,23.6557
261,2433543.2116706283,148.99871,23.65215
262,2433544.2117239977,149.01883,23.6487
263,2433545.2117787087,149.03879,23.64537
264,2433546.211834745,149.05857,23.64214
265,2433547.2118920917,149.07817,23.63902
266,2433548.211950733,149.09759,23.63602
267,2433549.212010653,149.11682,23.63313
268,2433550.212071838,149.13586,23.63035
269,2433551.212134271,149.15471,23.62769
270,2433552.2121979375,149.17335,23.62515
271,2433553.2122628214,149.19179,23.62272
272,2433554.2123289066,149.21002,23.62042
273,2433555.2123961775,149.22803,23.61823
274,2433556.212464617,149.24583,23.61616
275,2433557.212534208,149.2634,23.61421
276,2433558.212604933,149.28074,23.61239
277,2433559.2126767733,149.29786,23.61068
278,2433560.2127497112,149.31473,23.60911
279,2433561.212823727,149.33136,23.60766
280,2433562.2128988006,149.34775,23.60633
281,2433563.212974912,149.36389,23.60513
282,2433564.213052039,149.37977,23.60406
283,2433565.21313016,149.39539,23.60312
284,2433566.21320925,149.41075,23.60231
285,2433567.2132892855,149.42583,23.60163
286,2433568.2133702417,149.44065,23.60108
287,2433569.2134520914,149.45519,23.60066
288,2433570.21353481,149.46944,23.60037
289,2433571.213618371,149.48341,23.60022
290,2433572.2137027485,149.4971,23.6002
291,2433573.213787917,149.51049,23.60031
292,2433574.213873851,149.52359,23.60055
293,2433575.213960526,149.5364,23.60093
294,2433576.214047917,149.5489,23.60144
295,2433577.2141359993,149.5611,23.60208
296,2433578.2142247483,149.573,23.60286
297,2433579.2143141394,149.58458,23.60377
298,2433580.214404148,149.59586,23.60481
299,2433581.214494749,149.60682,23.60599
300,2433582.214585918,149.61746,23.6073
301,2433583.2146776295,149.62778,23.60874
302,2433584.214769858,149.63778,23.61032
303,2433585.2148625776,149.64746,23.61203
304,2433586.2149557625,149.65681,23.61388
305,2433587.215049386,149.66582,23.61585
306,2433588.2151434207,149.6745,23.61797
307,2433589.21523784,149.68285,23.62021
308,2433590.2153326157,149.69086,23.62259
309,2433591.2154277186,149.69852,23.6251
310,2433592.21552312,149.70584,23.62775
311,2433593.21561879,149.71282,23.63052
312,2433594.2157146973,149.71944,23.63343
313,2433595.2158108107,149.72572,23.63647
314,2433596.215907098,149.73164,23.63964
315,2433597.216003526,149.73721,23.64295
316,2433598.216100063,149.74242,23.64638
317,2433599.216196678,149.74728,23.64994
318,2433600.216293338,149.75178,23.65363
319,2433601.216390013,149.75592,23.65744
320,2433602.2164866733,149.7597,23.66139
321,2433603.216583288,149.76312,23.66545
322,2433604.216679828,149.76619,23.66964
323,2433605.216776264,149.76889,23.67395
324,2433606.216872568,149.77124,23.67839
325,2433607.2169687105,149.77322,23.68294
326,2433608.217064663,149.77484,23.68761
327,2433609.2171603967,149.77611,23.6924
328,2433610.2172558843,149.77701,23.69731
329,2433611.2173510958,149.77755,23.70233
330,2433612.2174460036,149.77773,23.70747
331,2433613.217540579,149.77755,23.71272
332,2433614.217634793,149.77701,23.71808
333,2433615.217728616,149.77611,23.72356
334,2433616.21782202,149.77485,23.72914
335,2433617.2179149752,149.77323,23.73483
336,2433618.2180074514,149.77125,23.74062
337,2433619.2180994195,149.76891,23.74653
338,2433620.218190848,149.76621,23.75253
339,2433621.218281707,149.76315,23.75864
340,2433622.2183719645,149.75974,23.76485
341,2433623.218461589,149.75597,23.77115
342,2433624.2185505484,149.75185,23.77756
343,2433625.2186388113,149.74738,23.78406
344,2433626.2187263467,149.74256,23.79065
345,2433627.218813123,149.73739,23.79733
346,2433628.2188991117,149.73187,23.8041
347,2433629.218984284,149.72601,23.81096
348,2433630.219068611,149.71981,23.8179
349,2433631.219152067,149.71327,23.82492
350,2433632.219234625,149.7064,23.83202
351,2433633.219316259,149.6992,23.8392
352,2433634.219396944,149.69167,23.84646
353,2433635.219476655,149.68381,23.85378
354,2433636.2195553672,149.67564,23.86118
355,2433637.219633057,149.66714,23.86865
356,2433638.2197096995,149.65833,23.87618
357,2433639.2197852717,149.6492,23.88377
358,2433640.21985975,149.63977,23.89143
359,2433641.2199331108,149.63003,23.89915
360,2433642.220005331,149.61999,23.90692
361,2433643.2200763877,149.60964,23.91475
362,2433644.2201462584,149.59901,23.92263
363,2433645.2202149187,149.58808,23.93056
364,2433646.2202823465,149.57687,23.93854
365,2433647.2203485183,149.56537,23.94656
366,2433648.220413411,149.55359,23.95463
367,2433649.2204770013,149.54153,23.96274
368,2433650.2205392662,149.5292,23.97089
369,2433651.2206001817,149.51661,23.97907
370,2433652.2206597254,149.50375,23.98728
371,2433653.2207178744,149.49064,23.99553
372,2433654.2207746073,149.47727,24.0038
373,2433655.2208299036,149.46366,24.01209
374,2433656.2208837434,149.4498,24.02041
375,2433657.220936109,149.43571,24.02874
376,2433658.2209869823,149.4214,24.03709
377,2433659.2210363485,149.40685,24.04546
378,2433660.2210841924,149.39209,24.05383
379,2433661.2211304987,149.37712,24.06221
380,2433662.221175255,149.36195,24.07059
381,2433663.2212184463,149.34657,24.07898
382,2433664.221260062,149.331,24.08736
383,2433665.221300089,149.31524,24.09574
384,2433666.221338515,149.2993,24.10411
385,2433667.2213753304,149.28318,24.11248
386,2433668.2214105236,149.2669,24.12083
387,2433669.2214440843,149.25044,24.12917
388,2433670.2214760026,149.23383,24.13749
389,2433671.2215062683,149.21707,24.14579
390,2433672.2215348724,149.20016,24.15407
391,2433673.2215618044,149.18312,24.16233
392,2433674.2215870554,149.16593,24.17056
393,2433675.2216106164,149.14862,24.17876
394,2433676.2216324774,149.13119,24.18692
395,2433677.2216526303,149.11364,24.19506
396,2433678.2216710653,149.09598,24.20315
397,2433679.2216877746,149.07822,24.21121
398,2433680.221702751,149.06036,24.21922
399,2433681.2217159863,149.04242,24.22719
400,2433682.221727475,149.02439,24.23511
401,2433683.2217372125,149.00629,24.24298
402,2433684.2217451953,148.98813,24.2508
403,2433685.221751421,148.9699,24.25856
404,2433686.2217558892,148.95162,24.26626
405,2433687.221758599,148.9333,24.2739
406,2433688.221759552,148.91494,24.28148
407,2433689.22175875,148.89655,24.28899
408,2433690.221756195,148.87813,24.29643
409,2433691.221751891,148.8597,24.3038
410,2433692.2217458407,148.84126,24.3111
411,2433693.221738049,148.82282,24.31832
412,2433694.2217285195,148.80438,24.32547
413,2433695.221717258,148.78596,24.33253
414,2433696.2217042698,148.76755,24.33952
415,2433697.221689561,148.74917,24.34642
416,2433698.221673137,148.73082,24.35323
417,2433699.2216550047,148.7125,24.35996
418,2433700.22163517,148.69423,24.3666
419,2433701.2216136395,148.67601,24.37315
420,2433702.22159042,148.65785,24.3796
421,2433703.2215655176,148.63975,24.38597
422,2433704.221538939,148.62172,24.39223
423,2433705.2215106916,148.60376,24.3984
424,2433706.2214807817,148.58589,24.40447
425,2433707.2214492178,148.5681,24.41043
426,2433708.221416008,148.55042,24.4163
427,2433709.2213811628,148.53283,24.42205
428,2433710.2213446912,148.51536,24.4277
429,2433711.2213066053,148.498,24.43325
430,2433712.2212669184,148.48077,24.43868
431,2433713.221225643,148.46366,24.44399
432,2433714.221182795,148.4467,24.4492
433,2433715.2211383893,148.42987,24.45429
434,2433716.221092443,148.4132,24.45926
435,2433717.2210449725,148.39668,24.46411
436,2433718.2209959957,148.38033,24.46885
437,2433719.220945531,148.36414,24.47346
438,2433720.2208935963,148.34813,24.47795
439,2433721.22084021,148.33229,24.48232
440,2433722.2207853915,148.31665,24.48657
441,2433723.2207291597,148.30119,24.49069
442,2433724.2206715345,148.28593,24.49469
443,2433725.220612535,148.27087,24.49856
444,2433726.220552181,148.25601,24.5023
445,2433727.220490492,148.24137,24.50592
446,2433728.2204274875,148.22694,24.5094
447,2433729.220363187,148.21274,24.51276
448,2433730.2202976095,148.19876,24.51599
449,2433731.220230774,148.185,24.51909
450,2433732.220162699,148.17149,24.52206
451,2433733.2200934044,148.15821,24.5249
452,2433734.2200229093,148.14517,24.5276
453,2433735.2199512334,148.13239,24.53018
454,2433736.2198783974,148.11985,24.53262
455,2433737.219804423,148.10758,24.53493
456,2433738.219729332,148.09556,24.5371
457,2433739.219653148,148.08382,24.53914
458,2433740.2195758955,148.07234,24.54104
459,2433741.2194975982,148.06115,24.54281
460,2433742.2194182826,148.05023,24.54444
461,2433743.219337974,148.0396,24.54594
462,2433744.2192567,148.02925,24.5473
463,2433745.219174486,148.0192,24.54853
464,2433746.21909136,148.00944,24.54961
465,2433747.219007349,147.99999,24.55057
466,2433748.21892248,147.99083,24.55138
467,2433749.218836781,147.98198,24.55206
468,2433750.2187502785,147.97344,24.55261
469,2433751.2186630005,147.96521,24.55302
470,2433752.218574974,147.95729,24.5533
471,2433753.218486226,147.94969,24.55344
472,2433754.218396784,147.94241,24.55345
473,2433755.2183066737,147.93544,24.55333
474,2433756.2182159224,147.9288,24.55307
475,2433757.218124555,147.92248,24.55268
476,2433758.218032597,147.91649,24.55216
477,2433759.2179400735,147.91082,24.55152
478,2433760.217847009,147.90548,24.55074
479,2433761.217753429,147.90047,24.54983
480,2433762.217659358,147.8958,24.54879
481,2433763.217564821,147.89146,24.54762
482,2433764.2174698436,147.88746,24.54633
483,2433765.217374454,147.88379,24.5449
484,2433766.217278678,147.88047,24.54335
485,2433767.217182545,147.87749,24.54168
486,2433768.2170860823,147.87485,24.53987
487,2433769.21698932,147.87255,24.53794
488,2433770.216892286,147.8706,24.53589
489,2433771.2167950114,147.869,24.53372
490,2433772.2166975243,147.86775,24.53142
491,2433773.2165998556,147.86684,24.529
492,2433774.216502034,147.86628,24.52646
493,2433775.2164040892,147.86607,24.5238
494,2433776.2163060512,147.86622,24.52102
495,2433777.216207948,147.86671,24.51812
496,2433778.2161098095,147.86755,24.51511
497,2433779.216011664,147.86874,24.51199
498,2433780.215913539,147.87027,24.50875
499,2433781.215815463,147.87216,24.5054
500,2433782.2157174638,147.87439,24.50194
501,2433783.2156195673,147.87697,24.49837
502,2433784.215521801,147.87989,24.49469
503,2433785.215424189,147.88316,24.49091
504,2433786.2153267576,147.88677,24.48702
505,2433787.215229531,147.89072,24.48303
506,2433788.2151325326,147.89501,24.47894
507,2433789.2150357873,147.89965,24.47474
508,2433790.2149393186,147.90462,24.47045
509,2433791.2148431507,147.90993,24.46606
510,2433792.214747309,147.91558,24.46157
511,2433793.214651819,147.92157,24.45698
512,2433794.214556707,147.92789,24.4523
513,2433795.214461999,147.93455,24.44752
514,2433796.214367722,147.94154,24.44266
515,2433797.2142739035,147.94886,24.4377
516,2433798.2141805696,147.95652,24.43265
517,2433799.2140877475,147.9645,24.42752
518,2433800.213995464,147.97281,24.4223
519,2433801.213903746,147.98144,24.417
520,2433802.2138126194,147.9904,24.41161
521,2433803.2137221103,147.99968,24.40614
522,2433804.213632244,148.00928,24.4006
523,2433805.2135430463,148.01919,24.39497
524,2433806.2134545418,148.02942,24.38927
525,2433807.2133667544,148.03996,24.3835
526,2433808.213279708,148.0508,24.37766
527,2433809.213193426,148.06195,24.37174
528,2433810.213107931,148.0734,24.36576
529,2433811.2130232444,148.08515,24.35971
530,2433812.212939388,148.0972,24.3536
531,2433813.2128563817,148.10953,24.34742
532,2433814.212774246,148.12216,24.34118
533,2433815.212692999,148.13507,24.33489
534,2433816.2126126597,148.14826,24.32853
535,2433817.2125332467,148.16173,24.32213
536,2433818.212454778,148.17548,24.31566
537,2433819.212377273,148.1895,24.30915
538,2433820.212300751,148.20379,24.30258
539,2433821.2122252313,148.21835,24.29597
540,2433822.2121507344,148.23317,24.28931
541,2433823.212077281,148.24826,24.2826
542,2433824.2120048916,148.2636,24.27585
543,2433825.2119335867,148.2792,24.26905
544,2433826.2118633864,148.29505,24.26222
545,2433827.211794311,148.31115,24.25534
546,2433828.2117263805,148.3275,24.24843
547,2433829.211659614,148.34408,24.24149
548,2433830.2115940303,148.3609,24.23451
549,2433831.211529648,148.37795,24.2275
550,2433832.211466485,148.39523,24.22047
551,2433833.211404559,148.41274,24.2134
552,2433834.2113438873,148.43046,24.20632
553,2433835.2112844856,148.4484,24.19921
554,2433836.2112263693,148.46655,24.19208
555,2433837.211169554,148.4849,24.18493
556,2433838.211114053,148.50345,24.17776
557,2433839.2110598804,148.52221,24.17058
558,2433840.2110070484,148.54115,24.16339
559,2433841.210955569,148.56028,24.15619
560,2433842.2109054537,148.57959,24.14898
561,2433843.2108567124,148.59908,24.14177
562,2433844.210809355,148.61874,24.13455
563,2433845.2107633925,148.63858,24.12732
564,2433846.2107188334,148.65857,24.1201
565,2433847.210675689,148.67873,24.11288
566,2433848.21063397,148.69905,24.10566
567,2433849.2105936864,148.71951,24.09844
568,2433850.2105548508,148.74013,24.09123
569,2433851.2105174745,148.76089,24.08403
570,2433852.2104815682,148.78178,24.07683
571,2433853.210447144,148.80282,24.06965
572,2433854.2104142127,148.82398,24.06248
573,2433855.2103827847,148.84527,24.05533
574,2433856.21035287,148.86667,24.04819
575,2433857.210324479,148.8882,24.04108
576,2433858.2102976195,148.90983,24.03398
577,2433859.210272301,148.93157,24.02691
578,2433860.210248531,148.95341,24.01987
579,2433861.210226317,148.97534,24.01285
580,2433862.2102056653,148.99736,24.00586
581,2433863.2101865825,149.01947,23.9989
582,2433864.210169073,149.04165,23.99198
583,2433865.2101531415,149.06391,23.9851
584,2433866.2101387912,149.08623,23.97825
585,2433867.210126025,149.10861,23.97144
586,2433868.2101148455,149.13105,23.96467
587,2433869.2101052525,149.15355,23.95795
588,2433870.2100972473,149.17608,23.95127
589,2433871.21009083,149.19866,23.94464
590,2433872.210086,149.22128,23.93806
591,2433873.210082757,149.24392,23.93153
592,2433874.2100811,149.26659,23.92505
593,2433875.2100810297,149.28928,23.91863
594,2433876.210082546,149.31199,23.91226
595,2433877.2100856486,149.3347,23.90595
596,2433878.210090339,149.35743,23.8997
597,2433879.210096618,149.38015,23.89351
598,2433880.2101044864,149.40288,23.88738
599,2433881.2101139445,149.42559,23.88131
600,2433882.2101249914,149.44829,23.87531
601,2433883.210137627,149.47097,23.86938
602,2433884.2101518502,149.49363,23.86352
603,2433885.2101676594,149.51625,23.85773
604,2433886.210185052,149.53885,23.85201
605,2433887.2102040253,149.5614,23.84637
606,2433888.210224576,149.5839,23.8408
607,2433889.210246699,149.60635,23.83531
608,2433890.2102703904,149.62875,23.8299
609,2433891.2102956437,149.65108,23.82458
610,2433892.2103224522,149.67334,23.81934
611,2433893.210350809,149.69553,23.81418
612,2433894.2103807055,149.71764,23.80911
613,2433895.2104121326,149.73966,23.80414
614,2433896.21044508,149.76159,23.79925
615,2433897.2104795375,149.78343,23.79445
616,2433898.210515494,149.80516,23.78975
617,2433899.210552938,149.82678,23.78514
618,2433900.2105918573,149.8483,23.78063
619,2433901.210632241,149.8697,23.77622
620,2433902.210674077,149.89097,23.77191
621,2433903.210717354,149.91212,23.76769
622,2433904.210762061,149.93314,23.76358
623,2433905.2108081873,149.95402,23.75957
624,2433906.2108557224,149.97477,23.75567
625,2433907.210904655,149.99537,23.75187
626,2433908.2109549744,150.01582,23.74817
627,2433909.2110066693,150.03611,23.74459
628,2433910.211059728,150.05625,23.74111
629,2433911.211114139,150.07622,23.73774
630,2433912.2111698883,150.09602,23.73449
631,2433913.211226963,150.11565,23.73135
632,2433914.2112853494,150.1351,23.72832
633,2433915.211345033,150.15436,23.72541
634,2433916.2114059976,150.17344,23.72261
635,2433917.211468228,150.19232,23.71994
636,2433918.2115317076,150.211,23.71738
637,2433919.211596419,150.22948,23.71494
638,2433920.2116623437,150.24774,23.71263
639,2433921.2117294623,150.26579,23.71044
640,2433922.2117977547,150.28363,23.70837
641,2433923.211867201,150.30123,23.70643
642,2433924.211937779,150.31861,23.70461
643,2433925.212009467,150.33575,23.70292
644,2433926.212082243,150.35266,23.70136
645,2433927.2121560844,150.36933,23.69993
646,2433928.2122309683,150.38574,23.69862
647,2433929.2123068734,150.40191,23.69744
648,2433930.2123837774,150.41783,23.6964
649,2433931.2124616583,150.43349,23.69548
650,2433932.212540495,150.44889,23.6947
651,2433933.2126202667,150.46402,23.69404
652,2433934.212700952,150.47888,23.69352
653,2433935.2127825287,150.49348,23.69313
654,2433936.2128649773,150.5078,23.69287
655,2433937.212948275,150.52184,23.69274
656,2433938.2130324002,150.5356,23.69275
657,2433939.2131173303,150.54907,23.69289
658,2433940.2132030427,150.56225,23.69317
659,2433941.2132895137,150.57514,23.69358
660,2433942.2133767195,150.58773,23.69412
661,2433943.213464636,150.60002,23.6948
662,2433944.2135532377,150.61201,23.69562
663,2433945.213642499,150.62369,23.69658
664,2433946.213732394,150.63506,23.69767
665,2433947.213822895,150.64611,23.69889
666,2433948.2139139757,150.65685,23.70026
667,2433949.214005607,150.66726,23.70176
668,2433950.21409776,150.67735,23.7034
669,2433951.2141904053,150.68711,23.70517
670,2433952.214283512,150.69654,23.70708
671,2433953.2143770503,150.70564,23.70913
672,2433954.2144709895,150.71441,23.71131
673,2433955.2145653,150.72283,23.71363
674,2433956.2146599516,150.73092,23.71609
675,2433957.214754915,150.73867,23.71867
676,2433958.2148501608,150.74608,23.7214
677,2433959.2149456614,150.75314,23.72425
678,2433960.2150413883,150.75986,23.72724
679,2433961.2151373136,150.76623,23.73036
680,2433962.21523341,150.77226,23.73361
