,timearr, xearr, yearr, zearr,vxearr,vyearr,vzearr
8342,2456234.5,26.38707782525453,12.82016220620715,-4.229902040050481,0.0100755345994909,-0.0100299015713709,0.0002314708458128
8343,2456235.5000000005,26.397134105192315,12.810363711719328,-4.229728120976754,0.0103037872115925,-0.0098309205195273,0.0002306704552303
8344,2456236.5,26.40741462318395,12.80076411489731,-4.229554073549172,0.0105289154257535,-0.0096278513686466,0.0002298756446619
8345,2456237.5,26.41791625697341,12.791367465835421,-4.229379876965162,0.0107508419079185,-0.0094206928708036,0.0002290834829302
8346,2456238.5,26.42863580420295,12.782177817411668,-4.229205514024216,0.0109694820409478,-0.0092094418138431,0.0002282902210181
8347,2456239.5000000005,26.439569973884325,12.77319922767771,-4.229030972065996,0.0111847411693584,-0.0089940923406331,0.0002274910435919
8348,2456240.5,26.4507153742564,12.76443576228279,-4.228856244188565,0.0113965101557426,-0.0087746367803647,0.0002266797699639
8349,2456241.5,26.46206849555955,12.7558914947135,-4.228681330743864,0.0116046598391857,-0.0085510694418468,0.0002258486256989
8350,2456242.5,26.47362568739248,12.7475705006582,-4.228506240943557,0.0118090361555187,-0.0083233947514189,0.0002249882923985
8351,2456243.5000000005,26.48538313279465,12.73947684185415,-4.228330994168576,0.0120094591013867,-0.008091640028263,0.0002240884955349
8352,2456244.5,26.4973368248404,12.731614535647982,-4.228155620341205,0.0122057293880634,-0.007855870616328,0.0002231393068496
8353,2456245.5000000005,26.50948255477048,12.7239875104695,-4.227980158676144,0.0123976448928026,-0.0076162017524122,0.0002221330297553
8354,2456246.5,26.52181592059064,12.716599554079608,-4.227804654480996,0.0125850241795631,-0.0073728000690111,0.0002210660868443
8355,2456247.5,26.53433235946131,12.70945426736349,-4.227629154415541,0.0127677288943023,-0.007125870913735,0.0002199400796333
8356,2456248.5,26.54702719787486,12.702555036760462,-4.227453701353382,0.0129456756462525,-0.006875634976988,0.0002187614807934
8357,2456249.5000000005,26.55989570639892,12.695905031607728,-4.227278330190363,0.0131188332403328,-0.0066223035773959,0.0002175401294116
8358,2456250.5,26.57293314554886,12.689507222976673,-4.227103065456077,0.0132872088095456,-0.0063660614909542,0.0002162872666449
8359,2456251.5,26.58613479540046,12.68336441426508,-4.226927920790793,0.0134508304630521,-0.0061070606181733,0.0002150138694638
8360,2456252.5,26.59949596890077,12.677479273491489,-4.226752899768145,0.0136097327947639,-0.0058454222379066,0.0002137296523343
8361,2456253.5,26.61301201334556,12.67185436089184,-4.226577997386793,0.01376394783005,-0.0055812434080522,0.0002124427027921
8362,2456254.5,26.6266783053982,12.6664921496491,-4.226403201704456,0.0139135009214511,-0.005314603826979,0.0002111595210477
8363,2456255.5,26.640490243754016,12.66139504039892,-4.226228495331672,0.0140584098249768,-0.0050455712414428,0.0002098852283573
8364,2456256.5,26.654443241725435,12.65656537128465,-4.2260538567022365,0.0141986852146943,-0.0047742049500534,0.0002086237871284
