,geocentricTime,RA,DEC
3929,2437211.5,286.78921,-23.97191
3930,2437212.5,286.79211,-23.97155
3931,2437213.5,286.79547,-23.97113
3932,2437214.5,286.79928,-23.97067
3933,2437215.5,286.80355,-23.97016
3934,2437216.5,286.80828,-23.9696
3935,2437217.5,286.81347,-23.96899
3936,2437218.5,286.81912,-23.96833
3937,2437219.5,286.82523,-23.96763
3938,2437220.5,286.83179,-23.96687
3939,2437221.5,286.83881,-23.96607
3940,2437222.5,286.84629,-23.96522
3941,2437223.5,286.85423,-23.96432
3942,2437224.5,286.86262,-23.96338
3943,2437225.5,286.87147,-23.96239
3944,2437226.5,286.88077,-23.96135
3945,2437227.5,286.89052,-23.96026
3946,2437228.5,286.90072,-23.95913
3947,2437229.5,286.91137,-23.95795
3948,2437230.5,286.92247,-23.95673
3949,2437231.5,286.93401,-23.95546
3950,2437232.5,286.94599,-23.95415
3951,2437233.5,286.9584,-23.95279
3952,2437234.5,286.97125,-23.95139
3953,2437235.5,286.98453,-23.94994
3954,2437236.5,286.99824,-23.94846
3955,2437237.5,287.01237,-23.94693
3956,2437238.5,287.02692,-23.94535
3957,2437239.5,287.04189,-23.94374
3958,2437240.5,287.05727,-23.94208
3959,2437241.5,287.07306,-23.94038
3960,2437242.5,287.08926,-23.93864
3961,2437243.5,287.10586,-23.93686
3962,2437244.5,287.12286,-23.93504
3963,2437245.5,287.14026,-23.93318
3964,2437246.5,287.15805,-23.93128
3965,2437247.5,287.17622,-23.92935
3966,2437248.5,287.19479,-23.92737
3967,2437249.5,287.21373,-23.92535
3968,2437250.5,287.23305,-23.9233
3969,2437251.5,287.25275,-23.92121
3970,2437252.5,287.27281,-23.91909
3971,2437253.5,287.29324,-23.91692
3972,2437254.5,287.31403,-23.91473
3973,2437255.5,287.33517,-23.91249
3974,2437256.5,287.35667,-23.91023
3975,2437257.5,287.3785,-23.90793
3976,2437258.5,287.40068,-23.90559
3977,2437259.5,287.42319,-23.90322
3978,2437260.5,287.44603,-23.90083
3979,2437261.5,287.46919,-23.8984
3980,2437262.5,287.49266,-23.89594
3981,2437263.5,287.51645,-23.89345
3982,2437264.5,287.54053,-23.89093
3983,2437265.5,287.56491,-23.88838
3984,2437266.5,287.58958,-23.88581
3985,2437267.5,287.61453,-23.8832
3986,2437268.5,287.63976,-23.88057
3987,2437269.5,287.66527,-23.87792
3988,2437270.5,287.69103,-23.87524
3989,2437271.5,287.71706,-23.87253
3990,2437272.5,287.74334,-23.8698
3991,2437273.5,287.76987,-23.86704
3992,2437274.5,287.79663,-23.86427
3993,2437275.5,287.82364,-23.86147
3994,2437276.5,287.85087,-23.85865
3995,2437277.5,287.87832,-23.8558
3996,2437278.5,287.906,-23.85294
3997,2437279.5,287.93388,-23.85006
3998,2437280.5,287.96196,-23.84716
3999,2437281.5,287.99024,-23.84424
4000,2437282.5,288.01871,-23.8413
4001,2437283.5,288.04736,-23.83835
4002,2437284.5,288.07619,-23.83539
4003,2437285.5,288.10519,-23.8324
4004,2437286.5,288.13435,-23.82941
4005,2437287.5,288.16366,-23.8264
4006,2437288.5,288.19312,-23.82338
4007,2437289.5,288.22271,-23.82035
4008,2437290.5,288.25243,-23.81731
4009,2437291.5,288.28227,-23.81426
4010,2437292.5,288.31223,-23.8112
4011,2437293.5,288.34229,-23.80813
4012,2437294.5,288.37245,-23.80506
