,kboTIME,x,y,z
13057,2460949.3242857303,15.98888489585033,25.71344248182038,-2.965326106482003
13058,2460950.3243582225,15.98896696788909,25.6985798670624,-2.964973474526207
13059,2460951.3244295954,15.98933993984212,25.68376306928207,-2.964620711706173
13060,2460952.3244998273,15.99000284555627,25.66899692970527,-2.964267841985746
13061,2460953.324568897,15.99095466704242,25.65428619604036,-2.963914896460918
13062,2460954.324636784,15.99219436423974,25.6396355231647,-2.963561912560145
13063,2460955.324703468,15.99372090782866,25.62504948732638,-2.963208931974882
13064,2460956.324768929,15.99553330719065,25.61053261663652,-2.962855997229417
13065,2460957.3248331463,15.9976306238032,25.5960894350202,-2.962503147337151
13066,2460958.3248960995,16.00001196321293,25.58172451038601,-2.962150413507254
13067,2460959.3249577675,16.00267644593306,25.56744249474155,-2.961797815994169
13068,2460960.3250181284,16.00562316514592,25.55324814686369,-2.961445362774488
13069,2460961.325077161,16.00885114235923,25.53914633510631,-2.961093050046357
13070,2460962.325134843,16.01235929002265,25.5251420244365,-2.960740864005973
13071,2460963.3251911523,16.01614638517266,25.51124025464441,-2.960388783198127
13072,2460964.3252460677,16.02021105378704,25.49744611592048,-2.96003678089182
13073,2460965.3252995675,16.02455176330816,25.48376472557408,-2.959684827192369
13074,2460966.325351631,16.02916682052111,25.47020120735725,-2.95933289081355
13075,2460967.3254022375,16.0340543727055,25.45676067344386,-2.958980940545358
13076,2460968.3254513685,16.0392124108961,25.44344820859488,-2.958628946481408
13077,2460969.3254990038,16.04463877475293,25.43026885609105,-2.958276881052772
13078,2460970.325545126,16.05033115883356,25.41722760527948,-2.957924719885733
13079,2460971.3255897174,16.05628712004967,25.40432938080426,-2.957572442481684
13080,2460972.3256327617,16.06250408593043,25.39157903363572,-2.957220032716618
13081,2460973.3256742423,16.06897936317279,25.3789813338639,-2.956867479174027
13082,2460974.3257141444,16.07571014595587,25.36654096494978,-2.956514775349032
13083,2460975.325752454,16.08269352368438,25.35426251884498,-2.956161919782647
13084,2460976.3257891573,16.08992648819138,25.34215049120713,-2.955808916193718
13085,2460977.3258242416,16.09740594092697,25.3302092759388,-2.955455773665288
13086,2460978.3258576957,16.10512870121836,25.31844315853967,-2.955102506907826
13087,2460979.325889508,16.11309151721151,25.30685630837278,-2.954749136556619
13088,2460980.325919668,16.12129108139896,25.29545277100582,-2.954395689362399
13089,2460981.325948167,16.12972405232546,25.28423646331016,-2.954042198008113
13090,2460982.3259749957,16.13838708259102,25.27321117567377,-2.953688700171144
13091,2460983.326000146,16.14727685021075,25.26238058655728,-2.953335236440587
13092,2460984.3260236103,16.15639008622374,25.2517482931185,-2.952981846920499
13093,2460985.32604538,16.16572358836023,25.24131785656811,-2.952628566857597
13094,2460986.326065447,16.17527421191712,25.23109285350501,-2.95227542224857
13095,2460987.3260838035,16.18503883625772,25.22107691917117,-2.951922426686632
13096,2460988.32610044,16.19501431520322,25.21127377008027,-2.951569580361502
13097,2460989.326115348,16.20519742550365,25.20168720174572,-2.951216871277906
13098,2460990.3261285187,16.21558482589603,25.19232106668611,-2.950864277970474
13099,2460991.326139944,16.22617303239755,25.18317924275453,-2.950511772716844
13100,2460992.326149616,16.23695840868215,25.17426560096616,-2.950159324473673
13101,2460993.3261575275,16.24793716686872,25.16558397811414,-2.949806901174506
13102,2460994.326163673,16.25910537377009,25.15713815565079,-2.949454471366266
13103,2460995.326168046,16.2704589590488,25.14893184399522,-2.949102005332798
13104,2460996.326170642,16.28199372340701,25.14096867059457,-2.948749475889979
13105,2460997.3261714582,16.29370534623042,25.13325217015665,-2.948396859001387
13106,2460998.3261704915,16.30558939285799,25.1257857759638,-2.948044134304449
13107,2460999.3261677395,16.31764132194004,25.11857281173955,-2.947691285582061
13108,2461000.3261632016,16.32985649331604,25.1116164839916,-2.947338301176496
13109,2461001.326156878,16.34223017663555,25.10491987501025,-2.946985174324939
13110,2461002.3261487694,16.35475756070169,25.09848593674254,-2.946631903398249
13111,2461003.326138878,16.36743376336036,25.09231748562931,-2.94627849203935
13112,2461004.326127206,16.38025384177516,25.08641719828021,-2.945924949215497
13113,2461005.3261137577,16.39321280314417,25.08078760769822,-2.945571289207484
13114,2461006.3260985375,16.40630561628728,25.07543109978212,-2.945217531548526
